# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	313
#@/user_id	vito-macbook
an yao qiu 	按要求	c=1 d=0.600496 t=313
an zhuang 	安裝	c=1 d=0.97531 t=313
ben di 	本地	c=2 d=1.66952 t=313
bi jiao 	比較	c=1 d=0.755784 t=313
bi jiao 	比餃	c=1 d=0.752014 t=313
bian xie 	编写	c=2 d=1.29133 t=313
biao 	表	c=6 d=4.53022 t=313
biao zhu 	標柱	c=1 d=0.970446 t=313
bu 	步	c=0 d=0.0615697 t=313
bu fen 	部分	c=1 d=0.810584 t=313
bu xie 	不写	c=1 d=0.697676 t=313
bu yao 	不要	c=1 d=0.733447 t=313
cai hui 	才会	c=1 d=0.839457 t=313
cha kan 	查看	c=3 d=1.77313 t=313
chong pao 	重跑	c=2 d=1.59735 t=313
chong tu 	衝突	c=1 d=1.05783 t=313
chong tu ma 	衝突吗	c=1 d=0.97531 t=313
ci ku 	词库	c=5 d=2.51674 t=313
ci yu 	词语	c=2 d=1.79976 t=313
cun zai 	存在	c=2 d=1.52673 t=313
da bu chu 	打不出	c=0 d=0.0814647 t=313
da bu chu lai 	打不出来	c=2 d=1.80878 t=313
da xiao 	大小	c=3 d=2.41964 t=313
da yi ci 	打一次	c=1 d=0.786628 t=313
dai ma 	代碼	c=1 d=0.878095 t=313
dang qian 	當前	c=0 d=0.099005 t=313
dang qian shi jian 	當前時間	c=1 d=0.995012 t=313
dao 	到	c=1 d=0.865022 t=313
dao qi 	到期	c=1 d=0.932394 t=313
de 	的	c=18 d=8.92604 t=313
de shi yong 	的使用	c=1 d=0.904837 t=313
di er bu 	第二步	c=1 d=0.559898 t=313
di san 	第三	c=0 d=0.0615697 t=313
di san bu 	第三步	c=1 d=0.618783 t=313
di yi bu 	第一步	c=1 d=0.548812 t=313
dian 	点	c=0 d=0.067368 t=313
dian nao 	電腦	c=1 d=0.744532 t=313
diao yong 	調用	c=3 d=1.87851 t=313
dou po 	斗破	c=1 d=1 t=313
du 	读	c=1 d=0.895834 t=313
dui bi 	对比	c=1 d=0.88692 t=313
duo duan 	多端	c=1 d=0.99005 t=313
fa sheng 	發生	c=2 d=1.91221 t=313
fan kui 	反饋	c=1 d=0.927743 t=313
fan xiao 	返校	c=1 d=0.873716 t=313
fang shi 	方式	c=1 d=0.571209 t=313
fen shu 	分數	c=1 d=0.946485 t=313
fu 	父	c=0 d=0.0790571 t=313
fu gai 	覆蓋	c=2 d=1.71732 t=313
fu jie dian 	父節點	c=2 d=1.60107 t=313
ge ren 	個人	c=3 d=1.873 t=313
gen jie 	根結	c=0 d=0.067368 t=313
gen jie dian 	根結点	c=2 d=1.40684 t=313
geng gai 	更改	c=1 d=0.946485 t=313
